No.,Group,Variable
1,HAR,LogRV_lag1
2,HAR,LogRV_lag5
3,HAR,LogRV_lag10
4,HAR,LogRV_lag22
5,HAR,LogRV_Std5
6,HAR,LogRV_Std22
7,HAR,RV_Mom5
8,HAR,RV_Mom22
9,Cross,SPY_LogRV
10,HAR,Ret_lag1
11,HAR,Ret_abs_lag1
12,Cross,Corr_SPY
13,HF,Parkinson_5
14,HF,Parkinson_22
15,HF,GarmanKlass_22
16,HF,RogersSatchell_22
17,HF,Range_Close_Ratio
18,HF,Overnight_Vol
19,HF,Overnight_Ret
20,IV,IV_VIX
21,IV,IV_VIX_chg
22,IV,IV_VIX_ma5
23,IV,IV_VIX_std5
24,IV,IV_VIX3M
25,IV,IV_VIX_TermSlope
26,IV,IV_VIX9D
27,IV,IV_VIX_ShortSlope
28,IV,IV_VRP
29,IV,IV_VRP_ma22
30,Alt,AltVol_Amihud
31,Alt,AltVol_Vol_Ratio
32,Alt,AltVol_PV_Corr
33,Alt,AltVol_Vol_Surprise
34,Alt,AltVol_Order_Imbalance
35,Alt,AltVol_Kyle_Lambda
