Horizon,Reference,Challenger,DM_stat,p_raw,p_BH,p_Bonferroni,Sig_raw,Sig_BH,Sig_Bonferroni,Ref_Pooled_R2,Chal_Pooled_R2
1d,GARCH,WEns,33.3784,0.0,0.0,0.0,True,True,True,0.1176,-0.5161
5d,GARCH,WEns,29.6685,0.0,0.0,0.0,True,True,True,0.6249,-0.154
22d,GARCH,WEns,18.6393,0.0,0.0,0.0,True,True,True,0.7974,-0.1306
60d,GARCH,WEns,10.974,0.0,0.0,0.0,True,True,True,0.7853,-0.272
90d,GARCH,WEns,8.9463,0.0,0.0,0.0,True,True,True,0.7753,-0.3369
120d,GARCH,WEns,7.9917,0.0,0.0,0.0,True,True,True,0.7683,-0.3812
180d,GARCH,WEns,6.5329,0.0,0.0,0.0,True,True,True,0.7647,-0.4173
252d,GARCH,WEns,5.5246,0.0,0.0,0.0,True,True,True,0.7342,-0.3724
1d,HAR-3,WEns,2.6569,0.0079,0.0105,0.2528,True,True,False,0.1095,0.1176
5d,HAR-3,WEns,8.8336,0.0,0.0,0.0,True,True,True,0.5739,0.6249
22d,HAR-3,WEns,5.3913,0.0,0.0,0.0,True,True,True,0.7605,0.7974
60d,HAR-3,WEns,0.4259,0.6702,0.7395,1.0,False,False,False,0.7854,0.7853
90d,HAR-3,WEns,-0.8333,0.4047,0.4625,1.0,False,False,False,0.7858,0.7753
120d,HAR-3,WEns,-0.049,0.9609,0.9609,1.0,False,False,False,0.7731,0.7683
180d,HAR-3,WEns,1.1845,0.2362,0.2907,1.0,False,False,False,0.7423,0.7647
252d,HAR-3,WEns,0.919,0.3581,0.4244,1.0,False,False,False,0.6941,0.7342
1d,IV-only,WEns,16.3468,0.0,0.0,0.0,True,True,True,0.1176,0.0103
5d,IV-only,WEns,38.5259,0.0,0.0,0.0,True,True,True,0.6249,0.1849
22d,IV-only,WEns,40.0655,0.0,0.0,0.0,True,True,True,0.7974,0.2182
60d,IV-only,WEns,28.755,0.0,0.0,0.0,True,True,True,0.7853,0.2199
90d,IV-only,WEns,23.8371,0.0,0.0,0.0,True,True,True,0.7753,0.2139
120d,IV-only,WEns,21.0674,0.0,0.0,0.0,True,True,True,0.7683,0.2091
180d,IV-only,WEns,18.2282,0.0,0.0,0.0,True,True,True,0.7647,0.1986
252d,IV-only,WEns,13.6396,0.0,0.0,0.0,True,True,True,0.7342,0.1689
1d,NaiveRV,WEns,32.397,0.0,0.0,0.0,True,True,True,0.1176,-0.5661
5d,NaiveRV,WEns,21.7335,0.0,0.0,0.0,True,True,True,0.6249,0.3177
22d,NaiveRV,WEns,8.9332,0.0,0.0,0.0,True,True,True,0.7974,0.7074
60d,NaiveRV,WEns,0.0877,0.9301,0.9601,1.0,False,False,False,0.7853,0.7881
90d,NaiveRV,WEns,0.3832,0.7016,0.7484,1.0,False,False,False,0.7753,0.7647
120d,NaiveRV,WEns,1.7417,0.0816,0.1044,1.0,False,False,False,0.7683,0.7021
180d,NaiveRV,WEns,3.5862,0.0003,0.0004,0.0096,True,True,True,0.7647,0.5879
252d,NaiveRV,WEns,3.8775,0.0001,0.0001,0.0032,True,True,True,0.7342,0.5042
